fund_name,policy,fund_manager_name
K-PLAN2,ลงทุนในหุ้น ตราสารหนี้ และหรือเงินฝาก โดยจะลงทุนในหุ้นไม่เกิน 30% ของ NAV | ลงทุนในต่างประเทศไม่เกิน 30% ของ NAV | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนไม่น้อยกว่า 90% ของมูลค่าเงินลงทุนในตราสารหนี้ต่างประเทศ และไม่ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนของเงินลงทุนในตราสารทุนต่างประเทศ | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารของบริษัทจัดการได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,น.ส. จริยา พิมลไพบูลย์
K-WPSPEEDRMF,กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KWPSPEEDRMF เมื่อวันที่ 12 มีนาคม 2568 | กองทุนจะลงทุนในหน่วยลงทุนของกองทุนทั้งในและต่างประเทศตั้งแต่ 2 กองทุนขึ้นไป ที่มีนโยบายลงทุนในทรัพย์สินอย่างใดอย่างหนึ่งหรือหลายอย่าง เช่น ตราสารทุน ตราสารหนี้ และทรัพย์สินทางเลือก | กองทุนจะลงทุนโดยอ้างอิงสัดส่วนการลงทุนจากโปรแกรมที่บริษัทจัดการพัฒนาร่วมกับ JPMorgan Asset Management (Singapore) Limited และจะมีการปรับสัดส่วนการลงทุนและ/หรือทรัพย์สินที่ลงทุนตามที่บริษัทจัดการเห็นสมควร ทั้งนี้ ในสภาวะปกติกองทุนจะลงทุนในทรัพย์สินที่มีความเสี่ยงสูง (ได้แก่ ตราสารทุน หน่วยลงทุนของกองทุนตราสารทุน หน่วย property หน่วย infra หน่วย private equity รวมถึงสัญญาซื้อขายล่วงหน้าที่มีสินทรัพย์อ้างอิงเป็นทองคำ น้ำมันดิบ) โดยเฉลี่ยในรอบปีบัญชีไม่เกิน 79% ของ NAV | อาจลงทุนในกองทุนรวมซึ่งอยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันได้ไม่เกิน 100% ของ NAV และกองทุนรวมนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | กองทุนอาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และอาจลงทุนในตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) | กองทุนจะป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. สุธีวัน พงศธราธิก
K-S50RMF,กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KS50RMF เมื่อวันที่ 12 มีนาคม 2568 | ลงทุนหุ้นในดัชนี SET50 เพื่อสร้างผลตอบแทนให้ใกล้เคียงกับผลตอบแทนของดัชนีผลตอบแทนรวม SET50 | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking),น.ส. วินิทร ผ่องใส
K-MVEQ,ลงทุนหุ้นที่อยู่ในดัชนี SET100 โดยมีเป้าหมายให้ความผันผวนของผลตอบแทนของพอร์ตการลงทุนโดยรวมอยู่ในระดับต่ำที่สุดเมื่อเทียบกับดัชนีชี้วัด | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และอาจจะลงทุนในตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) | มุ่งหวังให้ความผันผวนของผลตอบแทนของพอร์ตการลงทุนโดยรวมอยู่ในระดับต่ำที่สุดเมื่อเทียบกับดัชนีชี้วัด (Minimum Volatility),น.ส. พักตร์พริ้ง พู่ไพจิตรกุล
K-GPROP-A(A),"ลงทุนในกองทุน Janus Henderson Horizon Global Property Equities Fund, Class H3q USD (กองทุนหลัก) ที่มี นโยบายลงทุนไม่น้อยกว่า 80% ในตราสารทุนของบริษัท หรือทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ (Real Estate Investment Trusts) หรือเทียบเท่า ที่มีการซื้อขายในตลาดหลักทรัพย์ ซึ่งมีรายได้หลักจากการเป็นเจ้าของ บริหาร และ/หรือพัฒนาอสังหาริมทรัพย์ทั่วโลก | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Henderson Management S.A. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-GPROP-A(D),"ลงทุนในกองทุน Janus Henderson Horizon Global Property Equities Fund, Class H3q USD (กองทุนหลัก) ที่มี นโยบายลงทุนไม่น้อยกว่า 80% ในตราสารทุนของบริษัท หรือทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ (Real Estate Investment Trusts) หรือเทียบเท่า ที่มีการซื้อขายในตลาดหลักทรัพย์ ซึ่งมีรายได้หลักจากการเป็นเจ้าของ บริหาร และ/หรือพัฒนาอสังหาริมทรัพย์ทั่วโลก | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Henderson Management S.A. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-JPX-A(A),"ลงทุนในกองทุน NEXT FUNDS TOPIX Exchange Traded Fund (กองทุนหลัก) ซึ่งเป็นกองทุนอีทีเอฟที่จดทะเบียนซื้อขายในตลาดหลักทรัพย์โตเกียว และมีนโยบายลงทุนให้มีผลตอบแทนตามดัชนีตลาดหุ้นญี่ปุ่น TOPIX | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Nomura Asset Management Co., Ltd. | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking)",น.ส. สุธีวัน พงศธราธิก
K-JPX-C(A),"ลงทุนในกองทุน NEXT FUNDS TOPIX Exchange Traded Fund (กองทุนหลัก) ซึ่งเป็นกองทุนอีทีเอฟที่จดทะเบียนซื้อขายในตลาดหลักทรัพย์โตเกียว และมีนโยบายลงทุนให้มีผลตอบแทนตามดัชนีตลาดหุ้นญี่ปุ่น TOPIX | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Nomura Asset Management Co., Ltd. | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking)",น.ส. สุธีวัน พงศธราธิก
K-HIT-A(A),กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเค โกลบอล ไฮ อิมแพ็ค ธีมาติก หุ้นทุน เมื่อวันที่ 27 มกราคม 2566 | ลงทุนในกองทุน Allianz Global Investors Fund – Allianz Thematica Share Class P (EUR) (กองทุนหลัก) ที่มี นโยบายลงทุนในตราสารทุนทั่วโลก มุ่งเน้นสร้างพอร์ตการลงทุนให้หลากหลายผ่านกลยุทธ์การคัดเลือกธีมการลงทุน (Theme) กลุ่มอุตสาหกรรม (Sector) และหุ้น (Stock) ซึ่งการคัดเลือกจะขึ้นอยู่กับดุลยพินิจของผู้จัดการกองทุนหลักในแต่ละช่วงเวลา โดยกองทุนหลักจะลงทุนในตราสารทุนตามวัตถุประสงค์การลงทุนไม่น้อยกว่า 70% ของมูลค่าทรัพย์สินของกองทุน และมีการลงทุนในตราสารทุนที่นอกเหนือตามวัตถุประสงค์ได้สุงสุดไม่เกิน 30% ของมูลค่าทรัพย์สินของกองทุน | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Allianz Global Investors GmbH | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. วีรยา จุลมนต์
K-AB22A,กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเค ฟิกซ์เดท เอเชียน บอนด์ 2022A เมื่อวันที่ 11 พฤษภาคม 2565 | ลงทุนโดยตรงในเงินฝาก ตราสารหนี้ภาครัฐและเอกชน หน่วย CIS สัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) ตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) ธุรกรรมการให้ยืมหลักทรัพย์ (Securities Lending) ธุรกรรมการซื้อโดยมีสัญญาขายคืน (Reverse Repo) ทั้งในและต่างประเทศ | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนไม่น้อยกว่า 90% ของมูลค่าเงินลงทุนในต่างประเทศ | เน้นลงทุนในตราสารหนี้ที่มีอันดับความน่าเชื่อถืออยู่ในอันดับที่สามารถลงทุนได้ อย่างไรก็ตาม กองทุนอาจลงทุนในตราสารหนี้ที่ไม่ได้รับการจัดอันดับความน่าเชื่อถือหรือได้รับการจัดอันดับความน่าเชื่อถือต่ำกว่าอันดับที่สามารถลงทุนได้ ไม่เกิน 20% ของ NAV | อาจลงทุนในหน่วยลงทุนของกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในหน่วยลงทุนของกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,นาย ธีรุตร อัศวมงคลกุล
K-INDIA-A(A),กองทุนจะลงทุนในกองทุน Goldman Sachs India Equity Portfolio Class I Shares (Acc.) (กองทุนหลัก) ที่มีนโยบายลงทุนอย่างน้อย 2 ใน 3 ของทรัพย์สินสุทธิในตราสารทุน และหรือตราสารและกองทุนที่มีความเกี่ยวข้องกับตราสารทุนของบริษัทที่ตั้งถิ่นฐานอยู่ในประเทศอินเดียหรือมีกำไรหรือรายได้หลักจากประเทศอินเดีย | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Goldman Sachs Asset Management B.V. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. ชุณหวรรณ ขัตตินานนท์
K-INDIA-A(D),กองทุนจะลงทุนในกองทุน Goldman Sachs India Equity Portfolio Class I Shares (Acc.) (กองทุนหลัก) ที่มีนโยบายลงทุนอย่างน้อย 2 ใน 3 ของทรัพย์สินสุทธิในตราสารทุน และหรือตราสารและกองทุนที่มีความเกี่ยวข้องกับตราสารทุนของบริษัทที่ตั้งถิ่นฐานอยู่ในประเทศอินเดียหรือมีกำไรหรือรายได้หลักจากประเทศอินเดีย | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Goldman Sachs Asset Management B.V. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. ชุณหวรรณ ขัตตินานนท์
K-GINFRA-A(D),"ลงทุนในกองทุน Wellington Enduring Assets Fund, USD S Accumulating Unhedged (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนของบริษัทที่เป็นเจ้าของสินทรัพย์ที่มีลักษณะคงทนถาวร (long-lived physical assets) ทั่วโลก เช่น บริษัทที่อยู่ในหมวดสาธารณูปโภค การขนส่ง พลังงาน อสังหาริมทรัพย์ และสินค้าอุตสาหกรรม | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Wellington Luxembourg S.à.r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-GINFRA-C(A),"ลงทุนในกองทุน Wellington Enduring Assets Fund, USD S Accumulating Unhedged (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนของบริษัทที่เป็นเจ้าของสินทรัพย์ที่มีลักษณะคงทนถาวร (long-lived physical assets) ทั่วโลก เช่น บริษัทที่อยู่ในหมวดสาธารณูปโภค การขนส่ง พลังงาน อสังหาริมทรัพย์ และสินค้าอุตสาหกรรม | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Wellington Luxembourg S.à.r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-GHRMF,"กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KGHRMF เมื่อวันที่ 12 มีนาคม 2568 | ลงทุนในกองทุน JPMorgan Funds – Global Healthcare Fund, Class A (acc) - USD (กองทุนหลัก) ที่ลงทุนในหุ้นบริษัทที่ประกอบธุรกิจดูแลสุขภาพทั่วโลกไม่น้อยกว่า 67% ของมูลค่าทรัพย์สินของกองทุน | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ JPMorgan Asset Management (Europe) S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
